personas,context,act_response
"[User 1 personas] :I just bought a brand new house.
I like to dance at the club.
I run a dog obedience school.
I have a big sweet tooth.
I like taking and posting selkies. <SEP> [User 2 personas] :I love to meet new people.
I have a turtle named timothy.
My favorite sport is ultimate frisbee.
My parents are living in bora bora.
Autumn is my favorite season.","User 1: Hi, Im [User 1s name]. Whats your name?
User 2: Hi, Im [User 2s name]. Its nice to meet you.
User 1: Nice to meet you too. What are you interested in?
User 2: I like to meet new people, play ultimate frisbee, and spend time with my family.
User 1: Those are all great things to be interested in. I like to dance at the club, run a dog obedience school, and eat a lot of sweets.
User 2: Thats interesting. Ive never met anyone who runs a dog obedience school before.
User 1: Its a lot of fun. I get to work with dogs every day and help them learn how to behave.
User 2: That sounds like a great job. I love dogs.
User 1: Me too! Theyre the best.
User 2: I have a turtle named Timothy. Hes my best friend.
User 1: I love turtles! I used to have a turtle when I was a kid.
User 2: Thats awesome. What was its name?
User 1: His name was Leonardo. He was a red-eared slider.
User 2: I love the name Leonardo. Its so cool.
User 1: Thanks. I thought so too.
User 2: Im glad we met. Its nice to talk to someone who likes dogs and turtles.
User 1: Me too. Its always nice to meet someone who has similar interests.
User 2: I hope we can hang out again sometime.",User 1: Id love that. We can go play ultimate frisbee or get some ice cream.
"[User 1 personas] :I am an old man.
I have a wheelchair that is modded to go very fast over many terrains.
I used to be in the military.
I only have one leg. <SEP> [User 2 personas] :I drive a ford pickup truck.
I am very conservative.
My family lives down the street from me.
I go to church every sunday.
I have three guns and love hunting.","User 1: Hi there!
User 2: Hello.
User 1: Im an old man with one leg. I used to be in the military. My wheelchair is modified to go very fast over many terrains.
User 2: Thats interesting. How did you lose your leg?
User 1: I was in a war.
User 2: Im sorry to hear that.
User 1: Its okay. It was a long time ago.
User 2: What do you do for fun?
User 1: I like to go for walks in my wheelchair. I also like to read and watch TV.
User 2: That sounds nice. I like to go for walks too. I also like to play golf.
User 1: Ive never played golf.
User 2: Its a lot of fun. You should try it sometime.
User 1: I might have to.
User 2: You should. Its a great way to get exercise.
User 1: Im not sure Im athletic enough.
User 2: You dont have to be athletic to play golf. Its a game of skill.
User 1: I guess I could give it a try.
User 2: Im sure youd like it.
User 1: Ill have to see if I can find a golf course near me.
User 2: Theres probably one near you. Theyre pretty common.
User 1: Ill have to look into it.
User 2: You should. Its a great way to meet people too.",User 1: Thats a good point.
"[User 1 personas] :I met my best friend in kindergarten.
I am of the jewish faith.
I grew up in north dakota.
I got a job working in advertising last year.
I have traveled and studied abroad. <SEP> [User 2 personas] :I have two dogs and one cat.
I work as a nurses aide in a nursing home.
I love to ride my bike.
I love caring for people.","User 1: Hi! What do you do for work?
User 2: I work as a nurses aide in a nursing home.
User 1: Oh, thats nice! Im a bit of a hypochondriac, so Im always looking for people in the medical field to talk to.
User 2: Yeah, I love my job. Its really rewarding to help people.
User 1: Im sure it is. I have a lot of respect for people in the medical field.
User 2: Thanks! What do you do for fun?
User 1: I like to travel and study abroad. Ive been to a lot of different countries.
User 2: Wow, that sounds amazing! Ive always wanted to travel, but I just havent had the chance.
User 1: You should! Its so much fun to experience new cultures and meet new people.
User 2: Ill definitely keep that in mind. Do you have any pets?
User 1: I have two dogs and one cat. Theyre my best friends.",User 2: Thats awesome! I love animals. I have two dogs and one cat too.
"[User 1 personas] :I love having facial hair.
I hope to retire someday soon.
I keep things to myself instead of speaking my mind.
My left leg hurts me daily.
I love to ride horses. <SEP> [User 2 personas] :I am happy being single and alone.
I only drink water.
I work in labor and delivery.
I do not want children.","User 1: How are you doing today?
User 2: Im doing well, thank you for asking. How about you?
User 1: Im doing well too. Im just a little tired. I have a lot on my mind.
User 2: Im sorry to hear that. Whats on your mind?
User 1: Im just thinking about my future. Im not sure what I want to do with my life.
User 2: Thats a tough question. But its important to think about it. What are you interested in?
User 1: Im interested in a lot of things. I love to ride horses, and Im also interested in working in labor and delivery.
User 2: Thats great! Im sure youll find something you love to do.
User 1: I hope so. Im just not sure where to start.","User 2: Well, you could start by talking to a career counselor. They can help you figure out what youre interested in and what kind of job you might want to pursue."
"[User 1 personas] :I love watching movies and tv.
I have a husband who i love very much.
I do not like exercise or physical activity.
My favorite food is ice cream.
I am a homebody. <SEP> [User 2 personas] :I am afraid of heights.
I love animals and have two dogs.
I am native american and live in oklahoma.
I work as an attorney.
I am not religious.","User 1: Hi there!
User 2: Hi there!
User 1: What do you like to do for fun?
User 2: I love animals, and I have two dogs.
User 1: Thats great! I love animals too. I have a cat.
User 2: Oh, nice! Whats your cats name?
User 1: Her name is Mittens.
User 2: Thats a cute name.
User 1: Thanks! What do you like to do with your dogs?
User 2: I like to take them for walks, play fetch with them, and cuddle with them.
User 1: That sounds like a lot of fun.
User 2: It is! I love spending time with my dogs.
User 1: What else do you like to do?
User 2: I like to watch movies and TV shows. I also like to read books.
User 1: Thats cool! I like to do those things too.
User 2: What are some of your favorite movies and TV shows?
User 1: I like to watch a lot of different kinds of movies and TV shows. Some of my favorites are ""The Office"", ""The Simpsons"", ""Game of Thrones"", and ""The Lord of the Rings"".
User 2: Those are all great shows! Ive seen most of them.
User 1: Have you seen any good movies lately?","User 2: I just saw ""The Batman"". It was really good."
"[User 1 personas] :I am afraid of heights.
I work as an attorney.
I am not religious.
I love animals and have two dogs.
I am native american and live in oklahoma. <SEP> [User 2 personas] :My favorite music is jazz.
I am a pediatrician.
I am married and have two kids of my own.
I love running and reading.
I also love vintage cars.","User 1: Hi, Im [user 1s name].
User 2: Hi, Im [user 2s name].
User 1: Nice to meet you! What do you do for a living?
User 2: Im a pediatrician.
User 1: Oh, thats great! Im an attorney.
User 2: Really? Thats cool. What kind of law do you practice?
User 1: I do family law.
User 2: Oh, interesting. I dont know much about family law.
User 1: Its a lot of work, but its also very rewarding.
User 2: I can imagine. What do you like about it the most?
User 1: I like helping people and making a difference in their lives.
User 2: Thats a great goal.
User 1: Thanks. What do you like about being a pediatrician?
User 2: I love working with kids. Theyre always so funny and honest.
User 1: I can imagine. Im sure its a lot of fun.
User 2: It is. I also like being able to help families with their children.
User 1: Thats great. It sounds like you have a really rewarding job.
User 2: I do. Im lucky to be a pediatrician.
User 1: Me too. Whats your favorite music?
User 2: I love jazz.
User 1: Me too! I love the improvisation and the creativity.
User 2: I agree. Its so much fun to listen to.
User 1: Whats your favorite band?
User 2: I love Miles Davis.
User 1: Me too! Hes one of the greatest musicians of all time.
User 2: I agree. Hes so talented.
User 1: What do you like to do for fun?
User 2: I love running, reading, and spending time with my family.
User 1: I love running too! Its so relaxing.
User 2: I agree. Its a great way to clear your head.
User 1: What kind of books do you like to read?
User 2: I like to read all kinds of books, but I especially like historical fiction and mystery novels.",User 1: Me too! I love historical fiction. Im currently reading a book about the American Revolution.
"[User 1 personas] :I have two sons.
I am going to hairdresser school.
I collect vintage 50 s decorations.
I eat granola for breakfast every day.
I have an exotic fish aquarium. <SEP> [User 2 personas] :I have a father and a brother.
My favourite food is sushi.
I listen to rap music.
I like to work out.","User 1: Hi there!
User 2: Hi!
User 1: What do you like to do for fun?
User 2: I like to work out, listen to rap music, and eat sushi.
User 1: Thats cool! I like to go to the gym, listen to 80s music, and collect vintage 50s decorations.
User 2: Vintage 50s decorations? Thats interesting! What kind of decorations do you collect?
User 1: I collect all kinds of things, like old signs, furniture, and clothes. I love the style of the 50s.
User 2: Thats really cool! Ive never seen any vintage 50s decorations before.
User 1: I have a whole room in my house dedicated to my collection. Ill have to show you sometime.
User 2: Id love to see it!
User 1: Sure! So, whats your favorite type of rap music?
User 2: I like all kinds of rap music, but I mostly listen to old school hip hop.
User 1: Old school hip hop? Thats great! I love that too. I like Run DMC, LL Cool J, and Public Enemy.
User 2: Me too! Those are some of my favorite artists.
User 1: Im glad we have similar tastes in music.
User 2: Me too!
User 1: So, what do you do for work?
User 2: Im a personal trainer. I help people get fit and healthy.
User 1: Thats great! Im sure youre a great trainer.
User 2: Thanks! I try my best.
User 1: So, how long have you been a personal trainer?
User 2: For about five years now.
User 1: Wow, thats a long time!
User 2: Yeah, its been a good run.
User 1: So, what do you like most about being a personal trainer?",User 2: I love helping people reach their goals. Its so rewarding to see them make progress and improve their health.
"[User 1 personas] :I work at mcdonald s.
My parents did not want me.
Its a dead end job so i am looking for something different.
I was raised by my uncle and aunt.
I am considering going to college. <SEP> [User 2 personas] :I want to be successful.
I have got two more years in college.
I study law.
I have no siblings.
I am a student.","User 1: Hi! Im [user 1s name].

User 2: Hi! Im [user 2s name].

User 1: What do you do for fun?

User 2: I like to play sports, read, and go to the movies.

User 1: I like to play sports too! What sports do you play?

User 2: I play soccer and basketball.

User 1: I used to play soccer! Im not very good at it, but I love it.

User 2: Its a great sport! Im not very good at basketball, but I still enjoy playing it.

User 1: Me too! What do you like to read?

User 2: I like to read mysteries and thrillers.

User 1: I like to read those too! I also like to read historical fiction.

User 2: Ive never read any historical fiction, but Ive heard good things about it.

User 1: Its really good! Its like reading a story about the past.

User 2: I might have to check it out sometime.

User 1: You should! What do you like to do in your free time?

User 2: I like to go to the movies, hang out with friends, and play video games.

User 1: I like to do all those things too! I love going to the movies.

User 2: Me too! I love seeing new movies.

User 1: Whats the last movie you saw?

User 2: I just saw ""The Batman"". It was really good!

User 1: Ive heard good things about that movie! Im going to see it soon.
",User 2: You should! Its a great movie.
"[User 1 personas] :I like to drink scotch to relax.
I am afraid of dogs.
I write short stories for a living.
I like dark superhero movies. <SEP> [User 2 personas] :My mom is a secretary.
I have one brother.
I am a bodybuilder.
I like to eat a lot of meat.","User 1: Im a short story writer.
User 2: Whats your favorite thing about being a short story writer?
User 1: I love the challenge of distilling a story down to its essentials.
User 2: That makes sense. I write a lot of essays for my classes, and I always find it hard to cut down the length.
User 1: Yeah, its hard to get rid of the unnecessary details. But its worth it in the end when you have a tight, focused story.
User 2: Yeah, I guess youre right. Im not sure what Ill do with my essays after I graduate, but maybe Ill try my hand at writing short stories.
User 1: You should! Its a lot of fun.
User 2: Whats your favorite type of short story?
User 1: I like dark superhero stories.
User 2: Really? Thats interesting. Ive never been much of a superhero fan.
User 1: Yeah, I know theyre not for everyone. But I like the way they can explore the darker side of human nature.
User 2: I can see that. I guess Im just more of a light-hearted kind of person.
User 1: Thats okay. Theres plenty of room for both light and dark in the world of short stories.
User 2: Yeah, I guess youre right. So, whats your favorite dark superhero story?","User 1: Its hard to say, but Im really a fan of the Watchmen."
"[User 1 personas] :I live in ohio.
I like to go hiking in my spare time.
I am a single mom of two boys.
I work as an accountant. <SEP> [User 2 personas] :I like to go hunting.
I am a handyman.
I am allergic to shellfish.
I work for a company that rents properties.
I restore classic cars.","User 1: Hi there! Im [username].
User 2: Hello! Im [username].
User 1: Where are you from?
User 2: Im from Colorado.
User 1: Oh, nice! Im from Ohio.
User 2: Cool! What do you do for fun?
User 1: I like to go hiking, camping, and fishing.
User 2: I love hiking and fishing too! Im also allergic to shellfish.
User 1: Oh, thats too bad. I love shellfish.
User 2: Yeah, it is. But I can still eat fish and other seafood.
User 1: Thats good!
User 2: What do you do for work?
User 1: Im an accountant.
User 2: Oh, cool! I work for a company that rents properties.
User 1: That sounds interesting.
User 2: It is. I get to meet a lot of different people.
User 1: Thats good.
User 2: Do you have any kids?
User 1: Yes, I have two boys.
User 2: Oh, thats great!
User 1: Yeah, theyre my pride and joy.
User 2: I bet.
User 1: So, what do you like to do for fun?
User 2: I like to go hunting, fishing, and working on cars.
User 1: Oh, thats cool! I like to go hiking, camping, and fishing.",User 2: We should go fishing sometime.
