gen_response,response_time
"I get nervous sometimes too.  It's like a dragon is sitting on my chest, making it hard to breathe.",1.7453360557556152
Oh no! I hope you find him soon.  I'd be devastated if my pet ran away.  Do you have any ideas where he might have gotten out?,2.6941750049591064
That's wonderful! It's amazing how fast they grow up.  My son is also in the Army. It must be such a joy to have him home for a visit.,3.3431453704833984
"That's interesting! I find whittling helps me relax before a big race, although I prefer to do it in the evenings.  Do you ever can any of the meat you eat?",2.4626832008361816
"Since you're just starting out, I'd recommend visiting a local indoor climbing gym.  They have beginner-friendly routes and you can rent all the necessary equipment like shoes and harnesses.  They often offer introductory classes too, which is a great way to learn basic techniques and safety procedures.  It's a fun and safe environment to get a feel for climbing before venturing outdoors.",3.901271343231201
"I know what you mean.  It's tough letting go, even when you know they're in good hands.  Hopefully, they'll make some new friends and have a great first day!",3.900048017501831
"That's such a sweet idea!  I should do something like that. I'm going bald, so I need to cherish these memories while I still have hair.  Maybe I'll even get Jimmy Fallon to sign the first page...I did run into him the other day, you know.",3.76645565032959
"Hey, I get it.  Dwelling on past decisions can be tough.  It's like when you drop a bowling ball on your foot – it hurts, but you can't undo it.  You just gotta move forward.  Maybe focus on things you *can* control, like perfecting a new juggling trick?  Or catching a good movie?",2.5934865474700928
"As a librarian, I understand the importance of honesty and setting a good example.  It's natural to feel bad after telling a lie, especially to family.  While you have many boots, your brother probably values his sunglasses.  Perhaps returning them and apologizing would be the best way to resolve the situation, even if it's difficult.  In my faith, we believe in seeking forgiveness and making amends.",3.027998924255371
"Green is a great color!  Reminds me of money, which is good since I work in finance.  Speaking of work, I should get back to it.",1.621581792831421
"I just looked it up online.  I'm curious, what kind of chocolate is your favorite?",2.0187418460845947
"That's interesting! I didn't realize there were so many Catholic schools around the world.  Around Lake Michigan must be nice; we don't have that many Catholic schools near me in New England, but the ones we do have are pretty good.",2.1622002124786377
That's incredible! 1000 pushups is a serious achievement.  I can barely do ten without collapsing.  I'm more of the 'watch squirrels do pull-ups' kind of athlete.  Good for you!,2.223741054534912
"That's wonderful! Cameron is a lovely name. My favorite brand of clothing is Donna Karen and I sing in the church choir every Sunday, so I appreciate a classic name.",2.821796178817749
"I like competition shows, especially cooking ones.  My grandma and I make pizza together sometimes, so I find those particularly interesting.",2.373983860015869
"Wow, that's amazing!  I love learning these quirky facts about nature.  Being out in nature always makes me feel so connected to the world.",3.4201173782348633
